ADM2_NAME,RP,Is_Urban,Distance_to_River_m,Latitude,Longitude
Aba South,1.5,1,4289.16,5.0876592,7.3497135
Abadam,4.0,0,7903.54,13.3704259,13.2681609
Abaji,1.5,0,3933.61,8.8678966,6.8281816
Abak,1.5,1,10738.83,5.0040731,7.7956668
Abakaliki,1.5,1,496.99,6.3208897,8.1133202
Abeokuta North,1.5,0,5226.66,7.2344952,3.2012259
Abeokuta South,1.5,1,2530.53,7.1594138,3.3645466
Abi,1.5,1,404.81,5.8866834,8.0328711
Aboh-Mbaise,1.5,0,6473.65,5.4188933,7.2606702
Abua/Odual,1.5,0,1644.29,4.8469396,6.5600328
Abuja Municipal,3.0,1,1310.17,9.0805107,7.4969005
Adavi,1.5,0,91.39,7.6844147,6.4667075
Ado,1.5,1,300.68,6.7801258,8.0613627
Ado Ekiti,1.5,1,20000.0,7.6232482,5.22274
Ado-Odo/Ota,1.5,0,11857.25,6.6244986,3.0822509
Afijio,1.5,0,13712.75,7.7478111,3.8965833
Afikpo North,1.5,1,3398.85,5.860247,7.9184712
Afikpo South,1.5,0,14350.7,5.8274591,7.7839142
Agaie,4.0,0,4576.65,8.9354301,6.4320188
Agatu,1.5,0,13008.06,7.8731757,7.8796916
Aguata,1.5,1,6951.67,5.9842248,7.0906432
Agwara,1.5,0,2064.47,10.7453014,4.5394175
Ahiazu-Mbaise,1.5,0,3991.51,5.5631995,7.2636268
Ahoada East,1.5,0,1839.92,5.0504985,6.64296
Ahoada West,1.5,0,5902.75,5.041966,6.513134
Aiyedade,1.5,0,4699.4,7.344518,4.3614141
Aiyedire,1.5,0,1792.63,7.5724511,4.2162199
Ajaokuta,1.5,1,1688.68,7.5639973,6.6291171
Ajingi,1.5,1,11849.26,11.958974,9.0338731
Akamkpa,1.5,1,1546.38,5.3896461,8.5446556
Akinyele,4.0,0,3434.57,7.5545037,3.9120421
Akko,1.5,0,3723.87,10.1003094,11.0028596
Akoko North East,1.5,0,20000.0,7.5625875,5.9042263
Akoko North West,1.5,1,20000.0,7.6501792,5.8147441
Akoko South East,1.5,0,19381.69,7.4224909,5.9050607
Akoko South West,1.5,1,20000.0,7.4008129,5.7056416
Akoko-Edo,1.5,0,18410.18,7.3523936,6.1252351
Akpabuyo,1.5,1,10066.85,4.8956344,8.4803881
Akuku Toru,1.5,0,100.03,4.533629,6.6786707
Akure North,1.5,0,7535.15,7.2520758,5.3143805
Akure South,1.5,1,8639.08,7.22318,5.1688323
Akwanga,1.5,0,9324.17,9.0152703,8.3406254
Albasu,1.5,0,14484.24,11.6460292,9.0403142
Aleiro,1.5,1,11413.26,12.3203117,4.4531952
Alimosho,1.5,0,3703.86,6.5843883,3.2575876
Alkaleri,1.5,0,11157.58,9.896816,10.4308366
Amuwo-Odofin,1.5,1,2060.15,6.4470565,3.2663155
Anambra East,1.5,1,5971.66,6.3146982,6.8929567
Anambra West,1.5,0,3491.63,6.4925694,6.7765786
Anaocha,1.5,1,9136.49,6.0922999,7.0211714
Andoni,1.5,0,37.71,4.5061458,7.4073072
Aninri,1.5,0,17820.5,6.0679259,7.5971085
Aniocha North,1.5,0,9836.58,6.3679941,6.4702804
Aniocha South,1.5,1,9123.41,6.1419725,6.4773901
Anka,1.5,0,11936.45,11.9832114,5.9642846
Ankpa,1.5,1,20000.0,7.4693182,7.6191528
Apa,1.5,0,20000.0,7.6006341,7.8852036
Apapa,1.5,1,1186.15,6.445187,3.3683732
Ardo-Kola,1.5,1,813.22,8.8470989,11.1325195
Arewa-Dandi,1.5,1,20000.0,12.7215033,4.0747579
Argungu,1.5,1,967.18,12.6967675,4.4473728
Arochukwu,1.5,0,14337.01,5.5185153,7.8694045
Asa,1.5,0,5410.38,8.4132651,4.4423815
Asari-Toru,1.5,0,254.33,4.7529381,6.8348322
Askira/Uba,2.0,1,3918.74,10.7251526,13.1565189
Atiba,1.5,0,15914.43,8.2356925,3.8685804
Augie,1.5,1,2714.78,12.9010929,4.6290649
Auyo,1.5,1,2509.69,12.3333297,9.9128345
Awe,1.5,1,8234.44,8.2167306,9.1609237
Awgu,1.5,0,20000.0,6.1731327,7.4512478
Awka North,1.5,0,2236.26,6.3417876,7.0583437
Awka South,1.5,1,585.47,6.1940561,7.0943469
Ayamelum,1.5,0,6998.38,6.5346229,6.9747974
Babura,1.5,1,20000.0,12.6050122,8.8275802
Badagry,1.5,1,4596.86,6.4393223,2.9060324
Bade,1.5,0,2144.83,10.0608705,13.267365
Bagudo,1.5,1,6651.51,11.4040393,4.2277586
Bagwai,1.5,1,155.15,12.1017637,8.1198444
Bakori,1.5,1,13552.58,11.6774063,7.4077956
Bakura,1.5,1,15230.02,12.5584645,5.8640739
Balanga,1.5,0,1741.64,9.945255,11.600761
Bali,2.0,1,10448.62,8.0906258,10.9522619
Bama,1.5,0,5122.46,11.54544,14.0064277
Barikin Ladi,1.5,0,5101.1,9.533333,8.9
Baruten,15.0,0,16104.76,9.384549,3.4806575
Bassa,1.5,0,12631.14,7.7467992,6.9610649
Batagarawa,1.5,1,1882.68,12.8677769,7.5314298
Batsari,1.5,1,664.5,12.8454221,7.2679827
Bauchi,7.0,1,2165.77,10.6228284,10.0287754
Baure,1.5,0,20000.0,12.7897719,8.7816395
Bayo,1.5,1,560.69,10.452489,11.6827984
Bebeji,1.5,1,10786.44,11.5370886,8.3106486
Bende,1.5,0,13223.59,5.6390798,7.5893402
Biase,1.5,0,3808.25,5.547368,8.0520267
Bichi,1.5,1,3895.75,12.2334,8.24026
Bida,1.5,1,48.93,9.083333,6.016667
Billiri,1.5,0,7283.25,9.8350997,11.1418759
Bindawa,1.5,1,12505.82,12.7082443,7.8815931
Binji,1.5,1,16406.66,13.2095387,4.7694358
Biriniwa,1.5,1,20000.0,12.8364638,10.0835719
Birni Kudu,1.5,1,2252.36,10.5215406,7.4247932
Birnin Kebbi,1.5,1,2657.84,12.4573462,4.2006114
Birnin Magaji,1.5,0,783.5,12.1655937,5.3021667
Birnin-Gwari,1.5,1,10873.22,10.88377,6.585878
Biu,1.5,1,5254.72,10.6146098,12.1909612
Bodinga,1.5,1,7869.87,12.8106793,5.1723538
Bogoro,2.0,1,7419.55,9.6369083,9.6200272
Boki,1.5,0,176.86,6.2680357,9.0290841
Bokkos,1.5,0,10084.71,9.2285352,8.8948024
Boluwaduro,2.0,0,14552.99,7.9466403,4.8092286
Bomadi,1.5,0,2025.63,5.2255299,5.8097295
Bonny,1.5,0,798.92,4.505781,7.203466
Borgu,3.0,0,10044.61,10.1967653,4.0920206
Boripe,1.5,0,9042.21,7.8622022,4.6594465
Bosso,4.0,0,11097.15,9.6009083,6.3466716
Brass,1.5,0,407.1,4.5121961,6.4818845
Buji,1.5,1,10876.63,11.5483373,9.7315015
Bukkuyum,1.5,1,7101.53,11.9850101,5.5834557
Bungudu,1.5,1,2119.3,12.0079549,6.5157571
Bunkure,1.5,1,8152.51,11.6690434,8.5487486
Bunza,1.5,0,3980.61,12.2010775,3.9337264
Bursari,1.5,1,12030.09,12.4514335,10.7178005
Buruku,1.5,0,918.71,7.4191966,9.2137482
Burutu,1.5,1,564.99,5.3522824,5.5079208
Bwari,3.0,0,6494.72,9.2357478,7.4718746
Calabar South,1.5,1,204.61,4.8527025,8.3207315
Calabar-Municipal,1.5,1,3432.56,5.0153885,8.346658
Chanchaga,1.5,1,5895.5,9.6194134,6.5496471
Charanchi,1.5,1,8045.06,12.5582006,7.6759502
Chibok,1.5,1,6079.51,10.8690461,12.8480309
Chikun,1.5,0,4703.95,10.4202275,7.3135795
Damaturu,1.5,1,20000.0,11.747,11.9608
Damban,2.0,1,17395.67,11.617606,10.7666868
Dambatta,1.5,0,11634.35,12.428521,8.5965507
Damboa,1.5,1,5689.56,11.0793105,12.6688633
Dan Musa,1.5,1,1314.92,12.2587684,7.2858517
Dandi,1.5,1,20000.0,11.9019676,3.7945764
Dandume,1.5,1,20000.0,11.4169922,7.2224595
Dange-Shuni,1.5,0,20000.0,12.8256542,5.4191047
Danja,1.5,1,14445.51,11.4083136,7.4790533
Darazo,1.5,1,14633.27,11.1188755,10.5562017
Dass,2.0,1,4504.35,10.0114079,9.4718203
Daura,1.5,1,7773.8,13.035917,8.319388
Dawakin Kudu,1.5,1,3072.34,11.7974797,8.7065887
